VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00374074 0.000342317 0.000137246
         0.4   0.0165741  0.00226346    0.000445
    0.666667   0.0575741  0.00375575 0.000419548
    0.933333   0.0851111  0.00756326 0.000994646
         1.2    0.124611   0.0123047  0.00139454
     1.46667    0.114315   0.0149998  0.00211017
     1.73333    0.132259   0.0183342  0.00258185
           2       0.113   0.0179891  0.00325503
     2.26667   0.0899074   0.0544182   0.0345318
     2.53333    0.109741   0.0441064   0.0248893
         2.8       0.065   0.0147116  0.00413141
     3.06667   0.0309259  0.00859134  0.00263954
     3.33333   0.0255185  0.00618707  0.00184184
         3.6   0.0304259  0.00282226 0.000908606
     3.86667   0.0012963   0.0013491 0.000499951
     4.13333           0 0.000792762 0.000294716
         4.4           0 0.000540445 0.000216381
     4.66667           0 0.000118731  8.5477e-05
     4.93333           0  7.4267e-05 6.05074e-05
         5.2           0 2.19907e-05 2.12924e-05
     5.46667           0 8.87346e-06 8.59169e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00012963  0.00032263 0.000130577
         0.4   0.0191852   0.0021967 0.000423802
    0.666667   0.0783148  0.00380581 0.000397844
    0.933333   0.0921667  0.00743728 0.000944082
         1.2    0.110537   0.0119634  0.00135364
     1.46667   0.0907222   0.0144313  0.00206118
     1.73333    0.126741   0.0176943  0.00250803
           2    0.134315   0.0173956  0.00311718
     2.26667    0.111667   0.0516035    0.032615
     2.53333   0.0538704   0.0416983   0.0235414
         2.8   0.0842778   0.0141378  0.00392802
     3.06667   0.0449815  0.00824161  0.00250734
     3.33333   0.0115185  0.00586298  0.00176178
         3.6   0.0291852  0.00275723 0.000857482
     3.86667   0.0123889  0.00131261 0.000471872
     4.13333           0 0.000746129 0.000281045
         4.4           0 0.000508654 0.000205975
     4.66667           0 0.000111747 8.07337e-05
     4.93333           0 6.98983e-05 5.71056e-05
         5.2           0 2.06972e-05 2.00792e-05
     5.46667           0 8.35149e-06 8.10213e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0 0.000304706 0.000124547
         0.4   0.0378519  0.00219149 0.000400289
    0.666667   0.0674259  0.00380248 0.000375756
    0.933333    0.119315  0.00739235 0.000892701
         1.2   0.0782037   0.0115401  0.00134298
