VELOCITY:     AVE_POFV:    PROG_AVE:        ERROR:
     4.93333           0    3.38e-05 2.42719e-05
         5.2           0 7.76144e-06  7.5297e-06
     5.46667           0 3.13181e-06  3.0383e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00541204 0.000429621 7.95326e-05
         0.4   0.0208889  0.00260329 0.000433293
    0.666667   0.0495231  0.00622063 0.000723882
    0.933333   0.0853843    0.010525  0.00136601
         1.2    0.107111   0.0143977  0.00234104
     1.46667     0.14538   0.0164275  0.00280469
     1.73333    0.104838   0.0176304   0.0034452
           2    0.150662   0.0169101   0.0033843
     2.26667    0.101963   0.0470848   0.0308443
     2.53333   0.0762407    0.036437   0.0219957
         2.8   0.0635926   0.0104465  0.00296578
     3.06667    0.037912  0.00618277  0.00168602
     3.33333   0.0230139  0.00429391  0.00127617
         3.6    0.017338  0.00246667 0.000672975
     3.86667  0.00955556  0.00110302 0.000305468
     4.13333  0.00118519 0.000583956 0.000172489
         4.4           0  0.00030055 0.000168025
     4.66667           0 8.70478e-05 5.05632e-05
     4.93333           0 3.19222e-05  2.2996e-05
         5.2           0 7.33025e-06 7.12372e-06
     5.46667           0 2.95782e-06 2.87448e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00220833 0.000413126 7.70381e-05
         0.4   0.0227037  0.00252917  0.00041678
    0.666667   0.0373148   0.0059966 0.000719618
    0.933333   0.0799583   0.0101926  0.00133396
         1.2    0.120935   0.0139749  0.00225568
     1.46667    0.142014   0.0159563  0.00269637
     1.73333    0.104088   0.0169908  0.00332271
           2    0.133972   0.0163912  0.00324572
     2.26667    0.102764   0.0448913   0.0292988
     2.53333   0.0782315   0.0347359   0.0209037
         2.8   0.0802222   0.0101189  0.00282772
     3.06667   0.0431481  0.00597688  0.00160981
     3.33333   0.0287685   0.0041476  0.00121736
         3.6   0.0195093  0.00239089 0.000641808
     3.86667  0.00334722  0.00105424  0.00029326
     4.13333 0.000564815 0.000554786 0.000165859
         4.4     0.00025 0.000285424 0.000159861
     4.66667           0 8.24664e-05 4.81091e-05
     4.93333           0 3.02421e-05  2.1847e-05
         5.2           0 6.94444e-06 6.75923e-06
     5.46667           0 2.80214e-06 2.72741e-06
     5.73333           0           0           0
           6           0           0           0
     6.26667           0           0           0
     6.53333           0           0           0
         6.8           0           0           0
     7.06667           0           0           0
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333  0.00181944 0.000397019 7.48512e-05
         0.4   0.0116343  0.00243179 0.000407157
    0.666667   0.0448796  0.00580897 0.000707675
    0.933333   0.0631944  0.00984094  0.00131279
         1.2    0.141287   0.0136294   0.0021692
     1.46667    0.120991   0.0154609  0.00260665
     1.73333    0.131296   0.0164695  0.00319721
           2    0.127042   0.0158893    0.003122
     2.26667    0.109306     0.04292   0.0279001
     2.53333   0.0912593   0.0332273   0.0199129
         2.8   0.0774213  0.00980652  0.00270354
     3.06667   0.0324306  0.00575912  0.00154398
     3.33333   0.0226111  0.00399675   0.0011658
         3.6    0.020875  0.00232353 0.000613242
     3.86667  0.00311111   0.0010093 0.000282018
     4.13333 0.000842593 0.000529153 0.000159534
         4.4           0 0.000271153 0.000152504
     4.66667           0 7.83431e-05   4.588e-05
     4.93333           0   2.873e-05 2.08069e-05
