N   Half_pop_ave        L
460   5.76629   5.34475
461   5.77404   5.34475
462   5.77404   5.34475
463   5.78946   5.34475
464   5.63237   5.34475
465   5.80915   5.34475
466   5.83232   5.34475
467   5.9003   5.34475
468   5.82167   5.34475
469   5.75468   5.34475
470   5.77835   5.34475
471   5.79222   5.34475
472   5.7605   5.34475
473   5.76248   5.34475
474   5.65131   5.34475
475   5.65131   5.34475
476   5.71989   5.34475
477   5.69427   5.34475
478   5.84748   5.34475
479   5.81266   5.34475
480   5.65727   5.34475
481   5.78972   5.34475
482   5.70616   5.34475
483   5.55803   5.34475
484   5.68094   5.34475
485   5.68094   5.34475
486   5.48092   5.34475
487   5.6459   5.34475
488   5.6459   5.34475
489   5.66011   5.34475
490   5.72292   5.34475
491   5.64006   5.34475
492   5.79448   5.34475
493   5.63198   5.34475
494   5.63231   5.34475
495   5.63231   5.34475
496   5.66251   5.34475
497   5.66251   5.34475
498   5.69462   5.34475
499   5.5051   5.34475
500   5.63707   5.34475
501   5.4806   5.34475
502   5.49158   5.34475
503   5.65357   5.34475
504   5.65916   5.34475
505   5.67595   5.34475
506   5.68529   5.34475
507   5.74277   5.34475
508   5.75866   5.34475
509   5.66448   5.34475
510   5.4883   5.34475
511   5.44924   5.34475
512   5.53996   5.34475
513   5.54766   5.34475
514   5.54545   5.34475
515   5.6385   5.34475
516   5.54591   5.34475
517   5.47601   5.34475
518   5.55384   5.34475
519   5.56955   5.34475
520   5.56955   5.34475
521   5.56955   5.34475
522   5.70201   5.34475
523   5.71852   5.34475
524   5.71852   5.34475
525   5.56696   5.34475
526   5.5848   5.34475
527   5.60329   5.34475
528   5.61244   5.34475
529   5.63666   5.34475
530   5.64817   5.34475
531   5.65318   5.34475
532   5.62639   5.34475
533   5.63555   5.34475
534   5.73381   5.34475
535   5.74747   5.34475
536   5.78788   5.34475
537   5.61154   5.34475
538   5.61154   5.34475
539   5.54245   5.34475
540   5.71173   5.34475
541   5.54336   5.34475
542   5.40879   5.34475
543   5.41264   5.34475
544   5.41112   5.34475
545   5.50012   5.34475
546   5.68361   5.34475
547   5.71009   5.34475
548   5.72723   5.34475
549   5.78783   5.34475
550   5.77532   5.34475
551   5.74379   5.34475
552   5.80554   5.34475
553   5.80935   5.34475
554   5.88588   5.34475
555   5.88588   5.34475
556   5.69558   5.34475
557   5.71046   5.34475
558   5.71046   5.34475
559   5.63238   5.34475
560   5.52794   5.34475
561   5.54766   5.34475
562   5.55346   5.34475
563   5.55538   5.34475
