N  Half_pop_ave        L
762 88.7174 87.8582
763 88.939 87.8582
764 88.939 87.8582
765 88.8542 87.8582
766 89.8606 87.8582
767 89.5776 87.8582
768 90.0937 87.8582
769 90.1261 87.8582
770 90.2074 87.8582
771 90.3371 87.8582
772 91.2725 87.8582
773 92.3553 87.8582
774 92.7906 87.8582
775 93.15 87.8582
776 93.2465 87.8582
777 93.4877 87.8582
778 92.0082 87.8582
779 92.1747 87.8582
780 93.2266 87.8582
781 93.5315 87.8582
782 93.8843 87.8582
783 94.2112 87.8582
784 93.005 87.8582
785 91.1784 87.8582
786 90.4086 87.8582
787 89.6519 87.8582
788 89.7713 87.8582
789 90.101 87.8582
790 91.7647 87.8582
791 91.7849 87.8582
792 92.0415 87.8582
793 92.2965 87.8582
794 92.4047 87.8582
795 91.5087 87.8582
796 90.6583 87.8582
797 90.0823 87.8582
798 89.2232 87.8582
799 89.2232 87.8582
800 89.4826 86.573
801 90.3421 86.573
802 90.4167 86.573
803 89.7218 86.573
804 90.495 86.573
805 89.685 86.439
806 88.9963 86.439
807 88.933 86.439
808 89.0062 86.439
809 89.0104 86.439
810 89.0311 86.439
811 88.5185 86.439
812 88.5524 86.439
813 88.7017 86.439
814 88.1248 86.439
815 87.4917 86.439
816 87.7084 86.439
817 87.9268 86.439
818 88.5815 86.439
819 89.175 86.439
820 89.0456 86.439
821 89.1172 86.439
822 89.3237 86.439
823 88.617 86.439
824 89.3053 86.439
825 89.3441 86.439
826 88.8866 86.439
827 89.0084 86.439
828 89.1508 86.439
829 89.4526 86.439
830 89.475 86.439
831 89.8239 86.439
832 90.0436 86.439
833 89.4109 86.439
834 89.8955 86.439
835 88.8865 86.4277
836 88.9814 86.359
837 89.0414 86.359
838 90.1247 86.3477
839 90.9887 86.3477
840 91.5919 86.3477
841 91.2077 86.3477
842 90.4862 86.3477
843 89.7673 86.3477
844 89.8456 86.3477
845 88.2347 86.3477
846 88.8645 86.3477
847 88.9293 86.3477
848 88.6015 86.3477
849 90.2954 86.3477
850 89.3001 86.3477
851 88.828 86.3477
852 89.055 86.3477
853 89.2506 86.3477
854 88.6732 86.3477
855 88.3715 86.3477
856 88.486 86.3477
857 88.6064 86.3477
858 88.8258 86.3477
859 90.0814 86.3477
860 89.4814 86.3477
861 89.5031 86.3477
862 89.6057 86.3477
863 88.9097 86.3477
864 88.3967 86.3477
865 87.4768 86.3477
866 87.5785 86.3477
867 88.6331 86.3477
868 89.3249 86.3477
869 89.8213 86.3477
870 90.2143 86.3477
871 90.2335 86.3477
872 90.4682 86.3477
873 90.5263 86.3477
874 90.5642 86.3477
875 89.2588 86.0516
876 89.3899 86.0516
877 89.6211 86.0516
878 89.4774 86.0516
879 87.9622 86.0516
880 88.4656 86.0516
881 87.9794 86.0516
882 88.0707 86.0516
883 88.9876 86.0516
884 89.6955 86.0516
