BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         290    -5.71263    -5.62574   0.0116121
         291    -5.76656    -5.62623   0.0115822
         292    -5.71839    -5.62654   0.0115469
         293    -5.63935    -5.62659   0.0115075
         294     -5.6754    -5.62675   0.0114696
         295    -5.66505    -5.62688   0.0114314
         296     -5.6143    -5.62684   0.0113929
         297    -5.66796    -5.62698   0.0113554
         298    -5.74726    -5.62738   0.0113245
         299    -5.77589    -5.62788   0.0112975
         300    -5.73319    -5.62823   0.0112653
         301    -5.76402    -5.62868   0.0112369
         302    -5.68086    -5.62885    0.011201
         303    -5.63741    -5.62888   0.0111641
         304    -5.70838    -5.62914   0.0111304
         305    -5.72105    -5.62944    0.011098
         306    -5.67123    -5.62958   0.0110625
         307    -5.62414    -5.62956   0.0110265
         308    -5.52437    -5.62922    0.010996
         309    -5.56062      -5.629   0.0109627
         310    -5.55686    -5.62877   0.0109298
         311    -5.57599     -5.6286    0.010896
         312    -5.60635    -5.62853   0.0108613
         313    -5.55557    -5.62829   0.0108291
         314    -5.51645    -5.62794   0.0108004
         315    -5.45728    -5.62739   0.0107797
         316    -5.48033    -5.62693   0.0107556
         317    -5.56628    -5.62674   0.0107234
         318    -5.58319     -5.6266   0.0106906
         319    -5.62286    -5.62659   0.0106571
         320    -5.63904    -5.62663   0.0106238
         321    -5.49378    -5.62621   0.0105988
         322    -5.41552    -5.62556   0.0105861
         323    -5.43641    -5.62497   0.0105695
         324    -5.47383    -5.62451   0.0105471
         325    -5.52927    -5.62421   0.0105188
         326    -5.54726    -5.62398   0.0104891
         327    -5.53017    -5.62369    0.010461
         328    -5.53725    -5.62343   0.0104324
         329     -5.4994    -5.62305   0.0104075
         330    -5.50393    -5.62269   0.0103822
         331     -5.4896    -5.62229   0.0103586
         332    -5.52301    -5.62199   0.0103318
         333    -5.57193    -5.62184   0.0103018
         334    -5.64639    -5.62191   0.0102712
         335    -5.64162    -5.62197   0.0102408
         336       -5.64    -5.62202   0.0102104
         337    -5.56598    -5.62186   0.0101815
         338    -5.59365    -5.62177   0.0101517
         339    -5.51038    -5.62145   0.0101271
         340    -5.47028      -5.621    0.010107
         341    -5.46926    -5.62056   0.0100872
         342    -5.61578    -5.62054   0.0100577
         343    -5.39422    -5.61988     0.01005
         344    -5.33743    -5.61906   0.0100543
         345    -5.41341    -5.61847   0.0100428
         346    -5.45062    -5.61798   0.0100255
