N  Half_pop_ave        L
515 113.222 108.762
516 111.499 108.762
517 111.517 108.762
518 110.565 108.555
519 110.058 108.433
520 110.217 108.433
521 110.415 108.433
522 110.376 108.433
523 111.097 108.433
524 111.115 108.433
525 110.386 107.488
526 111.636 107.488
527 111.054 107.488
528 112.511 107.488
529 112.701 107.488
530 110.781 107.488
531 112.5 107.486
532 112.684 107.486
533 113.111 107.486
534 112.731 107.18
535 112.961 107.18
536 113.122 107.18
537 113.873 107.18
538 114.101 107.18
539 114.101 107.18
540 114.593 107.18
541 114.792 107.18
542 114.762 107.18
543 114.815 107.18
544 113.653 107.18
545 113.704 107.18
546 113.432 107.18
547 112.496 107.18
548 112.496 107.18
549 111.383 107.18
550 111.514 107.18
551 109.843 107.18
552 110.098 107.18
553 110.107 107.18
554 110.347 107.18
555 110.181 107.177
556 109.938 106.867
557 108.697 105.791
558 110.341 105.791
559 110.489 105.791
560 108.573 104.563
561 108.763 104.563
562 108.816 104.563
563 108.913 104.563
564 108.329 104.563
565 107.711 104.563
566 108.252 104.563
567 108.252 104.563
568 108.49 104.563
569 107.862 104.563
570 106.787 104.563
571 107.248 104.563
572 107.805 104.563
573 108.942 104.563
574 107.864 104.563
575 108.111 104.563
576 106.829 104.563
577 105.61 104.563
578 106.132 104.563
579 107.414 104.563
580 105.635 104.052
581 106.095 103.311
582 105.16 103.311
583 105.246 103.311
584 104.832 103.311
585 104.475 103.311
586 104.742 103.177
587 105.061 103.177
588 104.987 103.177
589 105.056 103.177
590 104.372 103.177
591 104.71 102.675
592 106.349 102.675
593 106.349 102.675
594 105.769 102.675
595 105.769 102.675
596 106.074 102.675
597 105.568 102.675
598 106.038 102.675
599 106.084 102.675
600 107.651 102.675
601 106.514 102.675
602 107.348 102.675
603 106.524 102.675
604 104.773 102.675
605 104.975 102.675
606 105.392 102.675
607 105.278 102.675
608 105.383 102.675
609 105.285 101.914
610 105.45 101.914
611 104.787 101.914
612 106.214 101.533
613 106.091 101.533
614 106.116 101.533
615 105.26 101.533
616 105.508 101.533
617 105.796 101.533
618 104.938 101.533
619 104.947 101.533
620 104.39 101.533
621 104.444 101.533
622 104.471 101.533
623 105.039 101.533
624 105.044 101.533
625 103.741 101.533
626 106.094 101.533
627 104.738 101.533
628 104.042 101.533
629 105.38 101.533
630 105.484 101.533
631 104.553 101.533
632 104.647 101.533
633 104.945 101.533
634 105.668 101.533
635 105.877 101.533
636 105.97 101.533
637 104.546 101.533
638 103.715 101.533
639 102.906 101.533
640 104.14 101.533
641 103.055 101.259
642 103.055 101.259
643 103.149 101.259
644 103.314 101.259
645 102.315 101.129
646 103.183 101.129
647 103.457 101.129
648 103.583 101.129
649 103.3 101.129
650 103.358 101.129
651 102.009 101.129
652 102.867 101.129
653 102.789 101.129
654 102.708 101.129
655 104.874 101.129
656 103.799 100.544
657 104.835 99.9014
658 104.943 98.9864
659 104.436 97.7589
660 103.89 97.7589
661 103.897 97.7589
662 102.004 97.7589
663 101.699 97.3841
664 101.659 97.3841
665 101.755 97.3841
666 101.865 97.3841
667 102.022 97.3841
668 101.479 97.3841
669 102.245 97.1311
670 101.331 97.1311
671 101.409 97.1311
672 102.555 97.1311
673 101.483 97.1311
674 101.666 97.1311
675 100.783 96.4596
676 100.888 96.4596
677 102.029 96.4596
678 102.029 96.4596
679 102.085 96.4596
680 102.403 96.4596
681 102.453 96.4596
682 102.609 96.4596
683 102.923 96.4596
684 102.48 96.4596
685 102.104 96.4596
686 100.828 96.4596
687 99.1888 96.4596
688 99.2516 96.4596
689 99.5926 96.4596
690 98.71 96.4596
691 97.121 95.5214
692 97.1222 95.5214
693 97.1508 95.5214
694 97.457 95.5214
695 97.9311 95.5214
696 98.0995 95.5214
697 97.5646 95.5214
698 97.7479 95.5214
699 97.9832 95.5214
700 98.8478 95.5214
701 98.9757 95.5214
702 98.8705 95.5214
703 98.9271 95.5214
704 100.874 95.2557
705 100.99 95.2557
706 102.388 95.2557
707 100.263 95.2557
708 99.2364 95.2557
709 99.5899 95.2557
710 99.7402 95.2557
711 98.4861 95.2557
712 99.5868 95.2557
713 98.8132 95.2557
714 98.9882 95.2557
715 97.5274 95.2557
716 97.9895 95.2557
717 96.2228 95.2557
718 96.5105 95.2557
719 96.2292 95.2557
720 96.1944 95.2557
721 95.5137 95.2557
722 95.6584 95.0517
723 96.7036 95.0517
724 97.4089 95.0517
725 96.3929 95.0517
726 98.0026 94.6985
727 96.2103 94.6985
728 96.8961 94.6985
729 97.1323 94.6985
730 97.9012 94.6985
731 98.0697 94.6985
732 98.1075 94.6985
733 98.2558 94.6985
734 98.2067 94.6985
735 98.2176 94.6985
736 98.5149 94.6985
737 98.1368 94.6985
738 99.3246 94.6985
739 98.8464 93.7098
740 99.9501 93.7098
741 99.5189 93.7098
742 98.8932 93.7098
743 99.0527 93.7098
744 98.3825 93.7098
745 97.0102 93.7098
746 96.9737 91.8445
747 97.009 91.8445
748 98.6895 91.8445
749 98.8086 91.8445
750 97.1213 91.8445
751 97.3285 91.8445
752 97.6051 91.8445
753 95.4697 91.8045
754 93.6272 91.8045
755 94.4952 91.8045
756 94.5194 91.3042
757 94.9474 91.3042
758 95.4109 91.3042
759 95.4246 91.3042
760 95.6213 91.3042
761 97.6228 91.3042
762 98.4218 91.3042
763 98.6975 91.3042
764 98.3432 91.3042
765 99.7142 91.3042
766 97.274 91.3042
767 97.2962 91.3042
768 94.5655 91.3042
769 94.6329 91.3042
770 95.0986 91.3042
771 95.0554 91.3042
772 95.6305 91.3042
773 95.6305 91.3042
774 93.4464 91.3042
775 92.991 91.3042
776 93.9329 91.3042
777 93.7212 91.3042
778 94.5406 91.3042
779 93.8037 91.3042
780 93.8691 91.3042
781 94.0545 91.3042
782 94.217 91.3042
783 93.5231 91.3042
784 93.1391 91.3042
785 93.1391 91.3042
786 94.0538 91.3042
787 93.8181 91.3042
788 93.2669 91.3042
789 92.513 91.3042
790 92.665 91.3042
791 93.0309 91.3042
792 93.5156 91.3042
793 95.3097 91.3042
794 95.6647 91.3042
795 94.5236 91.3042
796 94.6314 91.3042
797 95.8124 91.3042
798 96.82 91.3042
799 96.1058 91.3042
800 96.7964 91.3042
801 97.1778 91.3042
802 97.2135 91.3042
803 96.6501 91.3042
804 95.145 91.3042
805 94.8968 91.3042
806 96.2369 91.1448
807 94.8167 91.1448
808 95.6737 91.1448
809 95.4437 91.1448
810 94.007 91.1448
811 93.5823 91.1448
812 93.8621 91.1448
813 93.4599 91.1448
814 92.3709 91.1448
815 93.527 91.1448
816 92.6298 91.1448
817 94.2073 91.1448
818 93.7844 91.1448
819 93.4607 91.1448
820 92.5936 91.1448
821 92.8227 90.9857
822 92.9327 90.9857
823 93.2699 90.9857
824 93.79 90.9509
825 93.3609 90.9509
826 93.6401 90.9509
827 96.3267 90.9509
828 95.2545 90.9509
829 96.7218 90.9509
830 96.9037 90.9509
831 97.8434 90.9509
832 97.9026 90.9509
833 97.2111 90.9509
834 97.4328 90.9509
835 96.8017 90.9509
836 96.4714 90.9509
837 95.8565 90.9509
838 96.4924 90.9509
839 94.0651 90.9509
840 92.3841 90.9509
841 93.0914 90.9509
842 93.2652 90.9509
843 93.4921 90.9509
844 94.4673 90.9509
845 94.1591 90.9509
846 94.1964 90.9509
847 93.0808 90.9509
848 93.1434 90.9509
849 93.0673 90.0874
850 92.0728 90.0874
851 92.1998 90.0874
852 93.7361 90.0874
853 93.9901 90.0874
854 94.4161 89.5883
855 93.946 89.5883
856 94.1 89.5883
857 93.6057 89.5883
858 93.7318 89.5883
859 93.9074 89.5883
860 93.6579 89.5883
861 92.743 89.5883
862 92.8836 89.5883
863 93.009 89.5883
864 91.7734 89.5883
865 91.7496 89.5883
866 92.0069 89.5883
867 92.11 89.5883
868 91.9785 89.5883
869 91.9081 89.5883
870 91.5901 89.5883
871 91.9135 89.5883
872 91.9135 89.5883
873 92.0556 89.5883
874 92.1278 89.5883
875 92.0764 89.5883
876 92.2245 89.5883
877 93.5364 89.5883
878 93.7195 89.5883
879 93.7195 89.5883
880 93.9886 89.5883
881 92.6993 89.5883
882 92.3631 89.5883
883 92.2159 89.5883
884 92.481 89.5883
885 93.5571 89.5883
886 94.8411 89.5883
887 95.22 89.5883
888 94.7886 89.5883
889 95.2794 89.5883
890 94.7394 89.5883
891 95.0465 89.5883
892 95.9957 89.5883
893 94.9572 89.5883
894 93.2061 89.5792
895 93.697 89.5792
896 96.1193 89.5792
897 94.5819 89.5792
898 94.7731 89.5792
899 94.7731 89.5792
