BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         302     1.18866      1.3151   0.0179047
         303      1.1865     1.31467   0.0178506
         304     1.18427     1.31424   0.0177971
         305       1.182     1.31381    0.017744
         306     1.17968     1.31337   0.0176914
         307     1.17733     1.31293   0.0176393
         308     1.17494     1.31248   0.0175878
         309     1.17253     1.31203   0.0175367
         310     1.17011     1.31157   0.0174861
         311     1.16767     1.31111    0.017436
         312     1.16522     1.31064   0.0173864
         313     1.16277     1.31017   0.0173372
         314     1.16032     1.30969   0.0172886
         315     1.15788     1.30921   0.0172404
         316     1.15544     1.30872   0.0171927
         317       1.153     1.30823   0.0171455
         318     1.15056     1.30773   0.0170987
         319     1.14813     1.30723   0.0170525
         320      1.1457     1.30673   0.0170066
         321     1.14327     1.30622   0.0169613
         322     1.14083     1.30571   0.0169164
         323     1.13838     1.30519   0.0168719
         324     1.13592     1.30467    0.016828
         325     1.13345     1.30414   0.0167844
         326     1.13098     1.30361   0.0167413
         327     1.12849     1.30307   0.0166987
         328     1.12599     1.30253   0.0166565
         329     1.12348     1.30199   0.0166148
         330     1.12097     1.30144   0.0165735
         331     1.11846     1.30089   0.0165326
         332     1.11596     1.30033   0.0164922
         333     1.11348     1.29977   0.0164522
         334     1.11103      1.2992   0.0164127
         335     1.10863     1.29863   0.0163735
         336     1.10627     1.29806   0.0163348
         337     1.10398     1.29749   0.0162965
         338     1.10177     1.29691   0.0162586
         339     1.09966     1.29632    0.016221
         340     1.09766     1.29574   0.0161838
         341     1.09578     1.29515    0.016147
         342     1.09404     1.29457   0.0161105
         343     1.09245     1.29398   0.0160743
         344     1.09102     1.29339   0.0160384
         345     1.08977      1.2928   0.0160027
         346      1.0887     1.29221   0.0159674
         347     1.08782     1.29162   0.0159322
         348     1.08714     1.29103   0.0158973
         349     1.08666     1.29044   0.0158625
         350     1.08638     1.28986   0.0158279
         351     1.08631     1.28928   0.0157934
         352     1.08645     1.28871    0.015759
         353      1.0868     1.28813   0.0157248
         354     1.08734     1.28757   0.0156906
         355     1.08809       1.287   0.0156564
         356     1.08902     1.28645   0.0156223
         357     1.09014      1.2859   0.0155882
         358     1.09144     1.28536   0.0155542
