BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         305    -5.53979    -5.72529   0.0257134
         306    -5.53678    -5.72468   0.0256367
         307    -5.53384    -5.72405   0.0255608
         308    -5.53052    -5.72343   0.0254855
         309    -5.52714    -5.72279   0.0254109
         310     -5.5237    -5.72215   0.0253371
         311    -5.51976     -5.7215    0.025264
         312     -5.5164    -5.72084   0.0251915
         313     -5.5127    -5.72018   0.0251198
         314    -5.50883     -5.7195   0.0250489
         315    -5.50494    -5.71882   0.0249786
         316     -5.5015    -5.71813    0.024909
         317     -5.4979    -5.71744   0.0248401
         318      -5.494    -5.71674   0.0247719
         319     -5.4904    -5.71603   0.0247044
         320     -5.4865    -5.71531   0.0246377
         321    -5.48304    -5.71459   0.0245715
         322    -5.47989    -5.71386    0.024506
         323    -5.47627    -5.71312   0.0244412
         324     -5.4725    -5.71238    0.024377
         325    -5.46856    -5.71163   0.0243136
         326     -5.4649    -5.71087   0.0242508
         327    -5.46123    -5.71011   0.0241886
         328    -5.45784    -5.70934   0.0241271
         329    -5.45428    -5.70856   0.0240662
         330    -5.45085    -5.70778    0.024006
         331    -5.44724      -5.707   0.0239463
         332    -5.44332     -5.7062   0.0238874
         333    -5.43954     -5.7054   0.0238291
         334    -5.43576    -5.70459   0.0237714
         335    -5.43153    -5.70378   0.0237144
         336    -5.42808    -5.70296    0.023658
         337    -5.42421    -5.70213   0.0236023
         338    -5.41994     -5.7013   0.0235472
         339    -5.41575    -5.70045   0.0234928
         340    -5.41209    -5.69961    0.023439
         341    -5.40825    -5.69875   0.0233858
         342    -5.40484    -5.69789   0.0233332
         343    -5.40204    -5.69703   0.0232811
         344    -5.39912    -5.69616   0.0232296
         345    -5.39668     -5.6953   0.0231784
         346    -5.39447    -5.69443   0.0231278
         347    -5.39158    -5.69355   0.0230776
         348     -5.3894    -5.69268   0.0230278
         349    -5.38779    -5.69181   0.0229784
         350    -5.38571    -5.69093   0.0229294
         351    -5.38483    -5.69006   0.0228806
         352    -5.38394    -5.68919   0.0228321
         353    -5.38337    -5.68832   0.0227839
         354     -5.3831    -5.68746   0.0227358
         355    -5.38314     -5.6866   0.0226879
         356     -5.3832    -5.68575   0.0226402
         357    -5.38432    -5.68491   0.0225925
         358    -5.38514    -5.68407   0.0225449
         359    -5.38656    -5.68324   0.0224974
         360    -5.38842    -5.68242   0.0224498
         361    -5.38994    -5.68161   0.0224022
         362    -5.39188    -5.68081   0.0223546
         363     -5.3942    -5.68002    0.022307
         364    -5.39691    -5.67924   0.0222592
         365    -5.39938    -5.67848   0.0222115
         366    -5.40173    -5.67772   0.0221636
         367    -5.40546    -5.67698   0.0221157
         368    -5.40844    -5.67625   0.0220676
         369     -5.4123    -5.67553   0.0220194
         370    -5.41566    -5.67483   0.0219711
         371    -5.41881    -5.67414   0.0219227
         372    -5.42217    -5.67346   0.0218742
         373    -5.42588     -5.6728   0.0218256
         374    -5.42901    -5.67215    0.021777
         375    -5.43305    -5.67151   0.0217283
         376    -5.43633    -5.67089   0.0216795
         377    -5.43988    -5.67027   0.0216306
         378    -5.44339    -5.66967   0.0215817
         379      -5.447    -5.66909   0.0215328
         380    -5.44993    -5.66851   0.0214838
         381    -5.45369    -5.66794   0.0214349
         382    -5.45721    -5.66739   0.0213858
         383    -5.46062    -5.66685   0.0213368
         384    -5.46377    -5.66632   0.0212878
         385     -5.4668    -5.66581   0.0212388
         386    -5.46956     -5.6653   0.0211899
         387    -5.47219     -5.6648    0.021141
         388    -5.47483    -5.66431   0.0210922
         389    -5.47702    -5.66383   0.0210435
         390    -5.47906    -5.66335   0.0209948
         391    -5.48124    -5.66289   0.0209463
         392    -5.48341    -5.66243   0.0208979
         393    -5.48525    -5.66198   0.0208496
         394    -5.48691    -5.66153   0.0208014
         395    -5.48853     -5.6611   0.0207533
         396     -5.4898    -5.66066   0.0207054
         397    -5.49145    -5.66024   0.0206577
         398    -5.49244    -5.65982   0.0206101
         399    -5.49289     -5.6594   0.0205626
         400    -5.49341    -5.65898   0.0205154
         401    -5.49307    -5.65857   0.0204684
         402    -5.49264    -5.65816   0.0204217
         403    -5.49239    -5.65775   0.0203752
         404    -5.49174    -5.65733   0.0203289
         405    -5.49082    -5.65692   0.0202828
         406    -5.48964    -5.65651   0.0202371
         407    -5.48805     -5.6561   0.0201916
         408    -5.48653    -5.65568   0.0201463
         409    -5.48477    -5.65526   0.0201014
         410     -5.4831    -5.65484   0.0200568
         411    -5.48079    -5.65442   0.0200125
         412    -5.47832    -5.65399   0.0199684
         413    -5.47571    -5.65356   0.0199248
         414    -5.47301    -5.65313   0.0198814
         415    -5.47025    -5.65268   0.0198384
         416    -5.46686    -5.65224   0.0197957
         417     -5.4641    -5.65179   0.0197534
         418    -5.46186    -5.65133   0.0197114
         419    -5.45971    -5.65087   0.0196696
         420      -5.458    -5.65042   0.0196281
         421     -5.4554    -5.64995    0.019587
         422     -5.4539    -5.64949   0.0195461
         423    -5.45232    -5.64902   0.0195054
         424    -5.45066    -5.64855    0.019465
         425    -5.44925    -5.64809   0.0194249
         426    -5.44822    -5.64762    0.019385
         427    -5.44712    -5.64715   0.0193452
         428    -5.44623    -5.64668   0.0193057
         429    -5.44568    -5.64621   0.0192664
         430    -5.44545    -5.64574   0.0192273
         431    -5.44566    -5.64528   0.0191883
         432    -5.44522    -5.64481   0.0191494
         433    -5.44544    -5.64435   0.0191107
         434    -5.44524    -5.64389   0.0190722
         435    -5.44534    -5.64344   0.0190338
         436    -5.44525    -5.64298   0.0189956
         437    -5.44524    -5.64253   0.0189575
         438    -5.44498    -5.64208   0.0189196
         439     -5.4443    -5.64163   0.0188819
         440    -5.44379    -5.64118   0.0188443
         441    -5.44297    -5.64073   0.0188069
         442    -5.44214    -5.64028   0.0187698
         443    -5.44116    -5.63983   0.0187328
         444    -5.44001    -5.63938    0.018696
         445    -5.43885    -5.63893   0.0186594
         446    -5.43753    -5.63848    0.018623
         447    -5.43593    -5.63803   0.0185869
         448    -5.43389    -5.63757    0.018551
         449    -5.43173    -5.63711   0.0185153
         450    -5.42947    -5.63665   0.0184799
         451    -5.42713    -5.63619   0.0184448
         452    -5.42457    -5.63572   0.0184099
         453    -5.42242    -5.63525   0.0183753
         454    -5.42009    -5.63477   0.0183409
         455    -5.41774     -5.6343   0.0183068
         456    -5.41494    -5.63382    0.018273
         457    -5.41291    -5.63333   0.0182394
         458    -5.41075    -5.63285   0.0182061
         459    -5.40863    -5.63236   0.0181729
         460    -5.40626    -5.63187   0.0181401
         461     -5.4038    -5.63137   0.0181075
         462    -5.40186    -5.63087   0.0180751
         463        -5.4    -5.63038   0.0180429
         464    -5.39793    -5.62987    0.018011
         465    -5.39686    -5.62937   0.0179792
         466     -5.3953    -5.62887   0.0179477
         467    -5.39401    -5.62837   0.0179163
         468    -5.39224    -5.62786   0.0178851
         469    -5.39091    -5.62736   0.0178541
         470    -5.38973    -5.62685   0.0178233
         471    -5.38871    -5.62635   0.0177926
         472    -5.38787    -5.62584   0.0177621
         473    -5.38722    -5.62534   0.0177317
         474    -5.38676    -5.62483   0.0177014
         475    -5.38635    -5.62433   0.0176713
         476     -5.3866    -5.62383   0.0176412
         477     -5.3869    -5.62334   0.0176112
         478    -5.38726    -5.62284   0.0175813
         479    -5.38752    -5.62235   0.0175515
         480    -5.38902    -5.62187   0.0175216
