BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         460     1.65651     1.88646    0.018787
         461     1.65519     1.88596   0.0187529
         462      1.6539     1.88545   0.0187191
         463     1.65265     1.88495   0.0186854
         464     1.65143     1.88445   0.0186519
         465     1.65025     1.88394   0.0186186
         466     1.64912     1.88344   0.0185854
         467     1.64803     1.88294   0.0185525
         468       1.647     1.88243   0.0185197
         469     1.64604     1.88193    0.018487
         470     1.64516     1.88142   0.0184546
         471     1.64436     1.88092   0.0184223
         472     1.64367     1.88042   0.0183901
         473     1.64309     1.87992    0.018358
         474     1.64263     1.87942   0.0183261
         475     1.64229     1.87892   0.0182944
         476     1.64207     1.87842   0.0182627
         477     1.64197     1.87792   0.0182311
         478     1.64199     1.87743   0.0181997
         479     1.64212     1.87694   0.0181683
         480     1.64235     1.87645    0.018137
         481     1.64266     1.87596   0.0181058
         482     1.64303     1.87548   0.0180747
         483     1.64344       1.875   0.0180437
         484     1.64386     1.87452   0.0180127
         485     1.64428     1.87405   0.0179818
         486     1.64466     1.87358    0.017951
         487     1.64499     1.87311   0.0179203
         488     1.64524     1.87264   0.0178897
         489     1.64538     1.87217   0.0178591
         490      1.6454     1.87171   0.0178287
         491     1.64528     1.87125   0.0177983
         492     1.64499     1.87079   0.0177681
         493     1.64453     1.87033    0.017738
         494     1.64388     1.86987    0.017708
         495     1.64303     1.86941   0.0176781
         496     1.64197     1.86896   0.0176484
         497     1.64069      1.8685   0.0176189
         498     1.63919     1.86804   0.0175895
         499     1.63746     1.86757   0.0175604
         500     1.63551     1.86711   0.0175314
         501     1.63333     1.86664   0.0175026
         502     1.63094     1.86617    0.017474
         503     1.62833      1.8657   0.0174457
         504     1.62552     1.86522   0.0174176
         505     1.62252     1.86474   0.0173897
         506     1.61934     1.86426   0.0173621
         507       1.616     1.86377   0.0173348
         508     1.61252     1.86327   0.0173077
         509     1.60893     1.86277   0.0172809
         510     1.60524     1.86227   0.0172544
         511     1.60149     1.86176   0.0172282
         512      1.5977     1.86124   0.0172022
         513      1.5939     1.86072   0.0171766
         514     1.59011      1.8602   0.0171512
         515     1.58635     1.85966   0.0171262
         516     1.58266     1.85913   0.0171014
         517     1.57905     1.85859   0.0170769
         518     1.57554     1.85804   0.0170527
         519     1.57214     1.85749   0.0170287
         520     1.56886     1.85693    0.017005
         521      1.5657     1.85637   0.0169816
         522     1.56267     1.85581   0.0169583
         523     1.55977     1.85525   0.0169354
         524       1.557     1.85468   0.0169126
         525     1.55434      1.8541   0.0168901
         526     1.55179     1.85353   0.0168677
         527     1.54935     1.85295   0.0168456
         528       1.547     1.85237   0.0168237
         529     1.54474     1.85179   0.0168019
         530     1.54257     1.85121   0.0167803
         531     1.54048     1.85062   0.0167589
         532     1.53847     1.85004   0.0167377
         533     1.53655     1.84945   0.0167166
         534     1.53472     1.84886   0.0166957
         535     1.53299     1.84827   0.0166749
         536     1.53138     1.84768   0.0166543
         537      1.5299     1.84709   0.0166338
         538     1.52857     1.84649   0.0166134
         539      1.5274      1.8459   0.0165931
         540     1.52641     1.84531   0.0165729
         541     1.52563     1.84472   0.0165528
         542     1.52507     1.84413   0.0165328
         543     1.52476     1.84354   0.0165128
         544     1.52471     1.84295   0.0164929
         545     1.52493     1.84237   0.0164729
         546     1.52545     1.84179    0.016453
         547     1.52626     1.84121    0.016433
         548     1.52739     1.84064    0.016413
         549     1.52883     1.84007   0.0163929
         550      1.5306     1.83951   0.0163728
         551     1.53269     1.83895   0.0163525
         552      1.5351      1.8384   0.0163322
         553     1.53783     1.83786   0.0163117
         554     1.54086     1.83732    0.016291
         555      1.5442      1.8368   0.0162702
         556     1.54782     1.83628   0.0162493
         557     1.55172     1.83577   0.0162281
         558     1.55587     1.83526   0.0162068
         559     1.56026     1.83477   0.0161853
         560     1.56488     1.83429   0.0161635
         561     1.56969     1.83382   0.0161416
         562     1.57469     1.83336   0.0161195
         563     1.57986     1.83291   0.0160971
         564     1.58516     1.83247   0.0160746
         565     1.59059     1.83204   0.0160518
         566     1.59612     1.83162   0.0160289
         567     1.60174     1.83122   0.0160057
         568     1.60742     1.83082   0.0159824
         569     1.61315     1.83044   0.0159589
         570      1.6189     1.83007   0.0159352
         571     1.62467     1.82971   0.0159114
         572     1.63045     1.82936   0.0158874
         573     1.63621     1.82902   0.0158632
         574     1.64196      1.8287   0.0158389
         575     1.64768     1.82838   0.0158145
         576     1.65336     1.82808     0.01579
         577     1.65899     1.82779   0.0157653
         578     1.66458      1.8275   0.0157406
         579     1.67012     1.82723   0.0157157
         580     1.67561     1.82697   0.0156908
         581     1.68104     1.82672   0.0156658
         582     1.68642     1.82648   0.0156407
         583     1.69174     1.82625   0.0156156
         584     1.69702     1.82603   0.0155905
         585     1.70224     1.82581   0.0155652
         586      1.7074     1.82561     0.01554
         587     1.71251     1.82542   0.0155147
         588     1.71756     1.82524   0.0154894
         589     1.72254     1.82506   0.0154641
         590     1.72745      1.8249   0.0154388
         591     1.73229     1.82474   0.0154134
         592     1.73703     1.82459   0.0153881
         593     1.74168     1.82445   0.0153628
         594     1.74622     1.82432   0.0153375
         595     1.75064      1.8242   0.0153122
         596     1.75493     1.82408    0.015287
         597     1.75907     1.82397   0.0152618
         598     1.76305     1.82387   0.0152366
         599     1.76687     1.82377   0.0152114
         600     1.77051     1.82369   0.0151863
         601     1.77397      1.8236   0.0151613
         602     1.77724     1.82353   0.0151363
         603     1.78032     1.82345   0.0151114
         604     1.78321     1.82339   0.0150865
         605     1.78592     1.82333   0.0150617
         606     1.78843     1.82327    0.015037
         607     1.79077     1.82321   0.0150123
         608     1.79295     1.82316   0.0149877
         609     1.79497     1.82312   0.0149631
         610     1.79684     1.82308   0.0149387
         611     1.79859     1.82304   0.0149143
         612     1.80023       1.823   0.0148899
         613     1.80176     1.82296   0.0148657
         614     1.80321     1.82293   0.0148415
         615      1.8046      1.8229   0.0148174
         616     1.80592     1.82287   0.0147934
         617      1.8072     1.82285   0.0147694
