VELOCITY:     AVE_POFV:        ERROR:
           2       7.995     12.6597     1.12609
     2.26667      11.891     10.3093    0.463089
     2.53333       8.286     12.1634    0.766473
         2.8       7.556      9.5181    0.491639
     3.06667       8.578      8.2078    0.566573
     3.33333       7.861      5.9789    0.353859
         3.6        6.46      4.3212    0.322899
     3.86667       2.112      3.3804    0.540403
     4.13333       3.155      2.5044    0.350733
         4.4       2.647      1.6747    0.314308
     4.66667       1.158      0.6475    0.215964
     4.93333       0.241      0.3028   0.0929884
         5.2       0.262      0.1586    0.062636
     5.46667           0      0.1872    0.073118
     5.73333           0      0.1004   0.0687833
           6           0      0.0933   0.0763419
     6.26667           0      0.0009 0.000853815
     6.53333           0       0.138   0.0971812
         6.8           0      0.1369   0.0868889
     7.06667           0      0.0058  0.00550236
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.009  0.00972727  0.00770005
         0.4       1.612    0.707455    0.156884
    0.666667       4.054     2.47145    0.330507
    0.933333       2.837     3.44736    0.272551
         1.2       9.187     8.77918    0.712472
     1.46667      10.144     9.45482    0.575424
     1.73333       9.717      10.827    0.493244
           2      11.217     12.5285     1.03133
     2.26667      10.149     10.2947    0.421219
     2.53333       8.795     11.8572    0.755491
         2.8       10.72     9.62736    0.458926
     3.06667       9.823     8.35464    0.533755
     3.33333       5.392     5.92555    0.325687
         3.6        2.89     4.19109    0.318682
     3.86667       3.087     3.35373    0.491933
     4.13333       3.748     2.61745    0.336576
         4.4       0.945     1.60836    0.292651
     4.66667       1.335        0.71    0.205175
     4.93333        1.24       0.388     0.11724
         5.2       0.523    0.191727   0.0651154
     5.46667       0.318    0.199091   0.0674308
     5.73333       0.258    0.114727    0.064005
           6           0   0.0848182   0.0698713
     6.26667           0 0.000818182 0.000780106
     6.53333           0    0.125455   0.0891526
         6.8           0    0.124455   0.0798763
     7.06667           0  0.00527273  0.00502735
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.137   0.0203333   0.0123667
         0.4       1.707     0.79075    0.164442
    0.666667       3.086     2.52267    0.306907
    0.933333       3.902     3.48525    0.252458
         1.2      11.375      8.9955    0.685151
     1.46667       8.489     9.37433    0.533071
     1.73333       8.552     10.6374    0.487214
           2       8.209     12.1686     1.00624
     2.26667      12.684     10.4938    0.430612
     2.53333      12.905     11.9445    0.697561
         2.8       9.192     9.59108    0.422113
     3.06667       8.187     8.34067    0.489458
     3.33333       5.548     5.89408    0.300062
         3.6       4.381     4.20692    0.292518
     3.86667       2.201     3.25767    0.460222
     4.13333       2.418     2.60083    0.308938
         4.4       1.184       1.573    0.270391
     4.66667       1.367     0.76475    0.195246
     4.93333       1.414      0.4735    0.135096
         5.2       0.291         0.2   0.0602124
     5.46667       0.112    0.191833   0.0622009
     5.73333       0.659    0.160083   0.0729936
           6           0     0.07775   0.0644052
     6.26667           0     0.00075  0.00071807
     6.53333           0       0.115   0.0823339
         6.8           0    0.114083   0.0738902
     7.06667           0  0.00483333  0.00462756
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.258   0.0386154   0.0209484
         0.4       1.845    0.871846    0.170622
    0.666667       4.564     2.67969    0.320965
    0.933333       6.667        3.73    0.331061
         1.2       9.623     9.04377    0.634145
     1.46667       6.695     9.16823    0.530414
     1.73333       7.774     10.4172    0.497037
           2       10.54     12.0433    0.936604
     2.26667      11.784     10.5931    0.408764
     2.53333      11.411     11.9035    0.645108
         2.8       9.074     9.55131    0.391513
     3.06667       8.154     8.32631    0.452018
     3.33333       3.198     5.68669    0.341205
         3.6       3.917     4.18462    0.270865
     3.86667       3.744     3.29508    0.426338
     4.13333       3.391     2.66162    0.291092
         4.4       1.149     1.54038    0.251551
     4.66667       1.388    0.812692     0.18602
     4.93333       1.664    0.565077    0.152618
         5.2       0.544    0.226462   0.0611192
     5.46667       0.439    0.210846    0.060252
     5.73333       0.163    0.160308    0.067379
           6       0.014   0.0728462   0.0596374
     6.26667           0 0.000692308 0.000665148
     6.53333           0    0.106154   0.0764743
         6.8           0    0.105308   0.0687255
     7.06667           0  0.00446154  0.00428651
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333        0.24       0.053   0.0238856
         0.4       1.214    0.896286    0.160175
    0.666667       7.227      3.0045    0.432194
    0.933333       6.253     3.91021    0.353073
         1.2       5.972     8.82436    0.625657
     1.46667       7.097     9.02029    0.512745
