BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         246     2.00944     2.00284 0.000173873
         247     2.00954     2.00287 0.000175267
         248     2.00963      2.0029 0.000176669
         249     2.00973     2.00293 0.000178079
         250     2.00983     2.00295 0.000179498
         251     2.00993     2.00298 0.000180925
         252     2.01004     2.00301  0.00018236
         253     2.01014     2.00304 0.000183804
         254     2.01024     2.00307 0.000185257
         255     2.01035     2.00309 0.000186718
         256     2.01045     2.00312 0.000188187
         257     2.01056     2.00315 0.000189666
         258     2.01067     2.00318 0.000191153
         259     2.01077     2.00321 0.000192649
         260     2.01088     2.00324 0.000194154
         261     2.01099     2.00327 0.000195668
         262      2.0111      2.0033 0.000197191
         263     2.01121     2.00333 0.000198723
         264     2.01132     2.00336 0.000200265
         265     2.01144     2.00339 0.000201815
         266     2.01155     2.00342 0.000203375
         267     2.01167     2.00345 0.000204944
         268     2.01178     2.00348 0.000206522
         269      2.0119     2.00351  0.00020811
         270     2.01202     2.00355 0.000209707
         271     2.01213     2.00358 0.000211314
         272     2.01225     2.00361  0.00021293
         273     2.01237     2.00364 0.000214557
         274     2.01249     2.00367 0.000216193
         275     2.01262     2.00371 0.000217838
         276     2.01274     2.00374 0.000219494
         277     2.01286     2.00377  0.00022116
         278     2.01299     2.00381 0.000222835
         279     2.01311     2.00384 0.000224521
         280     2.01324     2.00387 0.000226217
         281     2.01337     2.00391 0.000227923
         282      2.0135     2.00394 0.000229639
         283     2.01363     2.00397 0.000231366
         284     2.01376     2.00401 0.000233103
         285     2.01389     2.00404 0.000234851
         286     2.01403     2.00408 0.000236609
         287     2.01416     2.00411 0.000238378
         288      2.0143     2.00415 0.000240158
         289     2.01443     2.00418 0.000241948
         290     2.01457     2.00422  0.00024375
         291     2.01471     2.00426 0.000245562
         292     2.01485     2.00429 0.000247385
         293     2.01499     2.00433 0.000249219
         294     2.01513     2.00437 0.000251065
         295     2.01527      2.0044 0.000252921
         296     2.01542     2.00444 0.000254789
         297     2.01556     2.00448 0.000256669
         298     2.01571     2.00451  0.00025856
         299     2.01586     2.00455 0.000260462
         300       2.016     2.00459 0.000262376
         301     2.01615     2.00463 0.000264302
         302     2.01631     2.00467 0.000266239
         303     2.01646     2.00471 0.000268189
         304     2.01661     2.00475  0.00027015
         305     2.01677     2.00479 0.000272124
         306     2.01692     2.00483 0.000274109
         307     2.01708     2.00487 0.000276107
         308     2.01724     2.00491 0.000278118
         309      2.0174     2.00495  0.00028014
         310     2.01756     2.00499 0.000282176
         311     2.01772     2.00503 0.000284223
         312     2.01788     2.00507 0.000286284
         313     2.01805     2.00511 0.000288357
         314     2.01822     2.00515 0.000290444
         315     2.01838     2.00519 0.000292543
         316     2.01855     2.00524 0.000294655
         317     2.01872     2.00528 0.000296781
