n_block      H_average        errore
347 -0.440685 0.00383139
348 -0.440795 0.00382197
349 -0.44069 0.00381247
350 -0.440919 0.0038085
351 -0.441049 0.00379983
352 -0.441497 0.00381544
353 -0.441636 0.00380716
354 -0.441713 0.00379717
355 -0.442042 0.00380075
356 -0.441968 0.00379079
357 -0.442148 0.00378442
358 -0.442159 0.00377385
359 -0.442391 0.00377046
360 -0.442588 0.00376513
361 -0.442473 0.00375646
362 -0.44267 0.00375127
363 -0.442598 0.00374161
364 -0.442624 0.00373141
365 -0.442753 0.00372341
366 -0.442701 0.00371358
367 -0.44244 0.00371266
368 -0.442248 0.00370751
369 -0.44233 0.00369836
370 -0.442451 0.00369031
371 -0.442382 0.003681
372 -0.442413 0.00367122
373 -0.442552 0.00366399
374 -0.442477 0.00365495
375 -0.442291 0.00364994
376 -0.442226 0.0036408
377 -0.442041 0.00363581
378 -0.442202 0.00362973
379 -0.44204 0.00362375
380 -0.442201 0.00361778
381 -0.442082 0.00361023
382 -0.441901 0.00360531
383 -0.441909 0.00359589
384 -0.441984 0.00358731
385 -0.442291 0.00359116
386 -0.442393 0.00358328
387 -0.442363 0.00357413
388 -0.442236 0.00356719
389 -0.4423 0.00355859
390 -0.442383 0.00355042
391 -0.442238 0.00354428
392 -0.442276 0.00353543
393 -0.44233 0.00352684
394 -0.442072 0.00352735
395 -0.440646 0.00379641
396 -0.440496 0.00378978
397 -0.440684 0.00378486
398 -0.440749 0.00377592
399 -0.440861 0.0037681
400 -0.441065 0.0037642
401 -0.44121 0.0037576
402 -0.441397 0.00375291
403 -0.441429 0.00374372
404 -0.441482 0.00373482
405 -0.441405 0.00372639
406 -0.441384 0.00371726
407 -0.441103 0.00371875
408 -0.441125 0.00370969
409 -0.441295 0.00370453
410 -0.44147 0.00369962
411 -0.441519 0.00369093
412 -0.44133 0.00368682
413 -0.441255 0.00367863
414 -0.441385 0.00367203
415 -0.441694 0.00367614
416 -0.441754 0.00366779
417 -0.441671 0.00365993
418 -0.441471 0.00365664
419 -0.441703 0.00365528
420 -0.441472 0.00365393
421 -0.441711 0.00365311
422 -0.44169 0.00364451
423 -0.441586 0.00363737
424 -0.441674 0.00362984
425 -0.441792 0.00362321
426 -0.441822 0.00361482
427 -0.441962 0.00360906
428 -0.442162 0.0036062
429 -0.441793 0.00361672
430 -0.441721 0.00360901
431 -0.44188 0.00360415
432 -0.441693 0.00360068
433 -0.441745 0.00359272
434 -0.441778 0.00358459
435 -0.441991 0.00358269
436 -0.442191 0.00358005
437 -0.442259 0.0035725
438 -0.442188 0.00356505
439 -0.442521 0.00357249
440 -0.44262 0.00356574
441 -0.442764 0.00356056
442 -0.442675 0.0035536
443 -0.442825 0.00354871
444 -0.442622 0.0035465
445 -0.442595 0.00353863
446 -0.442544 0.00353106
447 -0.442436 0.00352479
448 -0.442201 0.00352477
449 -0.442404 0.00352272
450 -0.442166 0.00352288
451 -0.442215 0.0035154
452 -0.442297 0.00350856
453 -0.442597 0.00351365
454 -0.442625 0.00350601
455 -0.442559 0.00349891
456 -0.442729 0.00349534
457 -0.442533 0.00349314
