n_block              T     sigma             mu            <H>         H_err
198 0.00507588 0.619289 0.728846 -0.426803 0.00216918
199 0.00502513 0.619289 0.728846 -0.426803 0.00745527
200 0.00497512 0.619289 0.728846 -0.426803 0.00219633
201 0.00492587 0.619289 0.728846 -0.426803 0.00274154
202 0.00487734 0.619289 0.728846 -0.426803 0.00170342
203 0.00482952 0.619289 0.728846 -0.426803 0.00387466
204 0.0047824 0.619289 0.728846 -0.426803 0.00168666
205 0.00473597 0.619289 0.728846 -0.426803 0.00455831
206 0.00469021 0.619289 0.728846 -0.426803 0.00245452
207 0.00464511 0.619289 0.728846 -0.426803 0.00289501
208 0.00460066 0.619289 0.728846 -0.426803 0.00275002
209 0.00455685 0.619289 0.728846 -0.426803 0.00167858
210 0.00451365 0.628784 0.751512 -0.436282 0.00128762
211 0.00447107 0.628784 0.751512 -0.436282 0.00223361
212 0.00442909 0.628784 0.751512 -0.436282 0.0141033
213 0.0043877 0.628784 0.751512 -0.436282 0.0030042
214 0.00434688 0.628784 0.751512 -0.436282 0.00473343
215 0.00430663 0.628784 0.751512 -0.436282 0.00246789
216 0.00426694 0.628784 0.751512 -0.436282 0.0103417
217 0.00422779 0.628784 0.751512 -0.436282 0.00771244
218 0.00418918 0.628784 0.751512 -0.436282 0.0065271
219 0.0041511 0.628784 0.751512 -0.436282 0.00145584
220 0.00411353 0.628784 0.751512 -0.436282 0.00193827
221 0.00407647 0.628784 0.751512 -0.436282 0.00494467
222 0.00403991 0.628784 0.751512 -0.436282 0.00382395
223 0.00400384 0.628784 0.751512 -0.436282 0.0184391
224 0.00396825 0.628784 0.751512 -0.436282 0.00845788
225 0.00393314 0.628784 0.751512 -0.436282 0.00155831
226 0.00389848 0.628784 0.751512 -0.436282 0.00448957
227 0.00386429 0.628784 0.751512 -0.436282 0.00798939
228 0.00383054 0.628784 0.751512 -0.436282 0.00701695
229 0.00379723 0.628784 0.751512 -0.436282 0.00677683
230 0.00376435 0.628784 0.751512 -0.436282 0.00481945
231 0.0037319 0.628784 0.751512 -0.436282 0.0047573
232 0.00369987 0.628784 0.751512 -0.436282 0.00250199
233 0.00366824 0.628784 0.751512 -0.436282 0.00639342
234 0.00363702 0.628784 0.751512 -0.436282 0.00241911
235 0.0036062 0.628784 0.751512 -0.436282 0.0087022
236 0.00357577 0.628784 0.751512 -0.436282 0.00273974
237 0.00354572 0.628784 0.751512 -0.436282 0.00773081
238 0.00351605 0.628784 0.751512 -0.436282 0.00272951
239 0.00348675 0.628784 0.751512 -0.436282 0.00316748
240 0.00345781 0.628784 0.751512 -0.436282 0.00405862
241 0.00342924 0.628784 0.751512 -0.436282 0.00278203
242 0.00340101 0.628784 0.751512 -0.436282 0.00553578
243 0.00337314 0.628784 0.751512 -0.436282 0.00159711
244 0.0033456 0.628784 0.751512 -0.436282 0.00195723
245 0.0033184 0.628784 0.751512 -0.436282 0.00427615
246 0.00329153 0.628784 0.751512 -0.436282 0.00276136
247 0.00326499 0.628784 0.751512 -0.436282 0.00526175
248 0.00323876 0.628784 0.751512 -0.436282 0.00128358
249 0.00321285 0.628784 0.751512 -0.436282 0.00159101
250 0.00318725 0.628784 0.751512 -0.436282 0.00472708
251 0.00316196 0.628784 0.751512 -0.436282 0.00931509
252 0.00313696 0.628784 0.751512 -0.436282 0.00337369
253 0.00311226 0.628784 0.751512 -0.436282 0.00295394
254 0.00308785 0.628784 0.751512 -0.436282 0.0113598
255 0.00306373 0.628784 0.751512 -0.436282 0.00223089
256 0.00303988 0.628784 0.751512 -0.436282 0.00404373
257 0.00301632 0.628784 0.751512 -0.436282 0.0127394
258 0.00299303 0.628784 0.751512 -0.436282 0.00404478
259 0.00297 0.586677 0.818801 -0.435762 0.0013007
260 0.00294724 0.586677 0.818801 -0.435762 0.00236615
261 0.00292475 0.586677 0.818801 -0.435762 0.00407468
262 0.0029025 0.586677 0.818801 -0.435762 0.0209987
263 0.00288052 0.586677 0.818801 -0.435762 0.0043275
264 0.00285878 0.586677 0.818801 -0.435762 0.0036291
265 0.00283728 0.586677 0.818801 -0.435762 0.00692427
266 0.00281603 0.586677 0.818801 -0.435762 0.0434781
267 0.00279501 0.586677 0.818801 -0.435762 0.00488422
268 0.00277423 0.586677 0.818801 -0.435762 0.0026771
269 0.00275368 0.586677 0.818801 -0.435762 0.00320131
270 0.00273336 0.586677 0.818801 -0.435762 0.0125878
271 0.00271326 0.586677 0.818801 -0.435762 0.00132195
272 0.00269339 0.586677 0.818801 -0.435762 0.00621871
273 0.00267373 0.586677 0.818801 -0.435762 0.00358512
274 0.00265428 0.586677 0.818801 -0.435762 0.00555936
275 0.00263505 0.586677 0.818801 -0.435762 0.00342195
276 0.00261602 0.586677 0.818801 -0.435762 0.00656364
277 0.0025972 0.586677 0.818801 -0.435762 0.00112541
278 0.00257858 0.586677 0.818801 -0.435762 0.027404
279 0.00256016 0.586677 0.818801 -0.435762 0.00363023
280 0.00254194 0.586677 0.818801 -0.435762 0.00279012
281 0.00252391 0.586677 0.818801 -0.435762 0.0241709
282 0.00250608 0.586677 0.818801 -0.435762 0.00966363
283 0.00248843 0.586677 0.818801 -0.435762 0.00991598
284 0.00247097 0.586677 0.818801 -0.435762 0.00526705
285 0.00245369 0.620131 0.846339 -0.433142 0.00163469
286 0.00243659 0.620131 0.846339 -0.433142 0.00517106
287 0.00241967 0.620131 0.846339 -0.433142 0.00131018
288 0.00240292 0.620131 0.846339 -0.433142 0.0025259
289 0.00238635 0.620131 0.846339 -0.433142 0.00592632
290 0.00236995 0.620131 0.846339 -0.433142 0.0050347
291 0.00235372 0.620131 0.846339 -0.433142 0.00791289
292 0.00233765 0.620131 0.846339 -0.433142 0.00394925
293 0.00232175 0.620131 0.846339 -0.433142 0.00236099
294 0.00230601 0.620131 0.846339 -0.433142 0.00902985
295 0.00229043 0.620131 0.846339 -0.433142 0.00496746
296 0.002275 0.620131 0.846339 -0.433142 0.00897205
297 0.00225973 0.620131 0.846339 -0.433142 0.0366046
298 0.00224462 0.623676 0.843478 -0.437106 0.00138121
299 0.00222965 0.623676 0.843478 -0.437106 0.00187688
300 0.00221484 0.623676 0.843478 -0.437106 0.0140755
301 0.00220017 0.623676 0.843478 -0.437106 0.00145891
302 0.00218565 0.623676 0.843478 -0.437106 0.00746888
303 0.00217127 0.623676 0.843478 -0.437106 0.00211177
304 0.00215703 0.623676 0.843478 -0.437106 0.00727741
305 0.00214293 0.623676 0.843478 -0.437106 0.00245225
306 0.00212897 0.623676 0.843478 -0.437106 0.00314211
307 0.00211515 0.623676 0.843478 -0.437106 0.00640387
308 0.00210146 0.623676 0.843478 -0.437106 0.00747288
309 0.0020879 0.623676 0.843478 -0.437106 0.0056184
310 0.00207447 0.623676 0.843478 -0.437106 0.00355148
311 0.00206118 0.623676 0.843478 -0.437106 0.00203273
312 0.00204801 0.623676 0.843478 -0.437106 0.00595292
313 0.00203496 0.623676 0.843478 -0.437106 0.0439847
314 0.00202204 0.623676 0.843478 -0.437106 0.0050753
315 0.00200924 0.623676 0.843478 -0.437106 0.00481442
316 0.00199657 0.623676 0.843478 -0.437106 0.00162235
317 0.00198401 0.623676 0.843478 -0.437106 0.00287049
318 0.00197157 0.623676 0.843478 -0.437106 0.00163066
