n_block              T     sigma             mu            <H>         H_err
167 0.00598802 0.609067 0.826704 -0.442447 0.00138407
168 0.00595238 0.610259 0.830641 -0.44094 0.00126117
169 0.00591716 0.616158 0.828007 -0.438816 0.0014865
170 0.00588235 0.621322 0.832859 -0.440161 0.0013384
171 0.00584795 0.623568 0.830613 -0.439056 0.00132327
172 0.00581395 0.626644 0.834093 -0.440041 0.00156975
173 0.00578035 0.62915 0.831039 -0.440648 0.0013592
174 0.00574713 0.628988 0.828877 -0.441314 0.00151566
175 0.00571429 0.625544 0.8271 -0.441502 0.0012818
176 0.00568182 0.627006 0.825859 -0.441797 0.00140294
177 0.00564972 0.622384 0.821264 -0.443254 0.00132262
178 0.00561798 0.625018 0.819213 -0.440969 0.00128041
179 0.00558659 0.627212 0.817858 -0.444289 0.00134666
180 0.00555556 0.628534 0.819491 -0.442611 0.00136962
181 0.00552486 0.629203 0.821965 -0.441503 0.00138287
182 0.00549451 0.630724 0.823518 -0.440309 0.00143002
183 0.00546448 0.628181 0.822266 -0.442738 0.00132105
184 0.00543478 0.628181 0.822266 -0.442738 0.00132958
185 0.00540541 0.630934 0.825579 -0.440396 0.00142011
186 0.00537634 0.63309 0.831199 -0.438132 0.00144628
187 0.00534759 0.634165 0.832071 -0.439747 0.00150585
188 0.00531915 0.633983 0.827282 -0.439168 0.00130054
189 0.00529101 0.63161 0.824187 -0.44153 0.00144136
190 0.00526316 0.63161 0.824187 -0.44153 0.00153279
191 0.0052356 0.631647 0.823669 -0.44059 0.00146764
192 0.00520833 0.630616 0.82577 -0.439456 0.0014177
193 0.00518135 0.633425 0.830627 -0.43884 0.00151881
194 0.00515464 0.633862 0.828282 -0.441778 0.00134767
195 0.00512821 0.631193 0.82871 -0.4436 0.00113097
196 0.00510204 0.626109 0.826133 -0.438551 0.00179619
197 0.00507614 0.624237 0.825863 -0.443489 0.00123687
198 0.00505051 0.622144 0.824845 -0.437769 0.00164103
199 0.00502513 0.622432 0.828955 -0.437927 0.00146868
200 0.005 0.618639 0.829461 -0.440983 0.00113903
201 0.00497512 0.617102 0.828198 -0.442894 0.00140895
202 0.0049505 0.615364 0.828828 -0.440186 0.00130248
203 0.00492611 0.616266 0.830859 -0.440994 0.00135267
204 0.00490196 0.615022 0.831744 -0.442334 0.00149102
205 0.00487805 0.61736 0.829999 -0.44133 0.00142262
206 0.00485437 0.616045 0.831398 -0.438058 0.00145766
207 0.00483092 0.620351 0.832355 -0.441422 0.00131767
208 0.00480769 0.620351 0.832355 -0.441422 0.00130844
